signal,target,mrate5,mrate10,mrate_avg,mrate_diff,red_v_rate3,red_v_rate5,red_v_rate10,rate_diff_5_10,rate_diff_3_10,rate_sum_5_10,rate_sum_3_10,ma10_20,ma5_10,ma5_20,ma_desc,ma_score
1.0,2,0.4,0.4,0.4,0.0,79.2293,41.4351,32.1215,9.3136,47.1078,39.9425,20.889,2.0656,-3.4393,-1.4447,-0.6987,2.0
1.0,3,0.6,0.6,0.6,0.0,35.0644,59.8561,60.9393,-1.0832,-25.8749,53.6853,33.1888,0.5406,0.2319,0.7738,0.3865,2.5
1.0,1,0.6,0.6,0.6,0.0,72.487,65.7681,67.0403,-1.2721,5.4467,58.2022,40.847,0.1774,-0.0267,0.1506,0.0753,2.0
1.0,1,0.4,0.3,0.35,0.1,68.9075,36.2179,31.6331,4.5848,37.2743,45.1359,23.7235,-2.1376,-2.2107,-4.3011,-2.1663,0.0
1.0,3,0.4,0.5,0.45,-0.1,63.8682,37.0938,47.1925,-10.0987,16.6757,55.4991,32.2331,-4.2238,-3.0188,-7.1152,-3.6001,0.0
1.0,2,0.6,0.5,0.55,0.1,73.8573,62.6914,50.1098,12.5816,23.7475,52.9669,32.9944,-4.3376,-3.3573,-7.5493,-3.8232,0.5
1.0,2,0.6,0.6,0.6,0.0,57.7653,53.159,62.2418,-9.0828,-4.4765,46.3401,26.4001,-2.584,0.2636,-2.3273,-1.1614,1.0
1.0,1,0.8,0.7,0.75,0.1,60.8282,77.8891,67.4598,10.4293,-6.6316,43.7162,24.676,-0.7401,-0.8363,-1.5702,-0.7872,1.0
1.0,2,0.6,0.6,0.6,0.0,74.2287,61.8457,61.5528,0.2929,12.6759,48.8422,30.4013,-0.8025,-0.8708,-1.6663,-0.8355,4.5
1.0,1,0.4,0.3,0.35,0.1,63.7169,36.2144,31.4656,4.7488,32.2512,42.8835,24.3735,-0.4399,-2.8902,-3.3173,-1.6629,0.5
1.0,2,0.4,0.4,0.4,0.0,33.2108,38.7875,37.4513,1.3362,-4.2405,48.0709,31.01,-3.4147,-1.3612,-4.7294,-2.3802,0.0
1.0,2,0.6,0.5,0.55,0.1,34.1082,60.6093,50.1168,10.4925,-16.0086,50.3678,30.1103,-4.0233,-2.4358,-6.3611,-3.2132,0.0
1.0,3,0.6,0.5,0.55,0.1,68.9384,62.6978,50.2446,12.4531,18.6938,47.9644,28.7878,-3.749,-1.5377,-5.2291,-2.6337,1.5
1.0,2,0.4,0.4,0.4,0.0,45.7022,49.2702,48.1173,1.153,-2.4151,38.8321,24.3426,1.1292,-1.588,-0.4768,-0.2324,3.0
1.0,3,0.6,0.5,0.55,0.1,74.3588,60.038,50.3896,9.6484,23.9692,38.7903,22.6676,-0.0683,-0.9402,-1.0078,-0.5041,0.5
1.0,2,0.6,0.5,0.55,0.1,72.3672,58.6287,49.7744,8.8542,22.5928,37.6231,21.7624,1.5878,-0.6916,0.8852,0.4463,2.0
1.0,3,0.4,0.6,0.5,-0.2,78.3648,44.9546,57.9286,-12.974,20.4362,51.4492,29.5142,-0.9628,-0.5801,-1.5373,-0.7705,2.0
1.0,1,0.6,0.5,0.55,0.1,70.7075,64.1493,48.269,15.8803,22.4385,45.4707,29.0122,0.7212,-0.1873,0.5326,0.2667,2.5
1.0,3,0.4,0.4,0.4,0.0,37.127,39.6874,41.4116,-1.7242,-4.2846,47.4607,27.5696,-1.3365,-1.4322,-2.7495,-1.3811,0.0
1.0,3,0.4,0.4,0.4,0.0,67.6239,39.4109,38.343,1.0679,29.2809,44.8829,26.1576,-1.4729,-1.3062,-2.7599,-1.3863,0.5
1.0,2,0.4,0.5,0.45,-0.1,35.6789,38.2445,50.9621,-12.7175,-15.2831,50.3244,35.2135,0.3972,-0.7336,-0.3393,-0.1687,0.5
1.0,2,0.8,0.6,0.7,0.2,60.7437,76.426,57.7902,18.6358,2.9534,52.5833,31.577,-0.5296,-0.3977,-0.9251,-0.4633,3.0
1.0,2,0.4,0.6,0.5,-0.2,65.6832,40.0255,59.5577,-19.5322,6.1255,46.341,28.2389,-0.9713,-0.3243,-1.2924,-0.6472,1.0
1.0,2,0.4,0.4,0.4,0.0,69.3002,38.9214,39.4622,-0.5408,29.838,51.018,28.6535,-0.5625,-0.0781,-0.6401,-0.3202,1.0
1.0,3,0.6,0.6,0.6,0.0,25.4972,63.3104,65.5481,-2.2377,-40.0509,53.1889,26.1934,-0.1127,-0.0295,-0.1421,-0.0711,4.5
